weather,soil_moisture,mowing,foot_traffic,fertilizer,green_speed,fairway_firmness,rough_thickness
cloudy,high,long,heavy,none,fast,soft,thick
cloudy,high,long,heavy,none,very_fast,medium,medium
cloudy,high,long,light,light,medium,soft,medium
cloudy,high,long,light,light,very_fast,soft,medium
cloudy,high,medium,moderate,heavy,very_fast,soft,thin
cloudy,high,medium,moderate,light,fast,soft,medium
cloudy,high,medium,moderate,light,medium,soft,medium
cloudy,high,medium,moderate,none,slow,medium,thin
cloudy,high,short,heavy,none,very_fast,soft,thick
cloudy,high,short,moderate,light,medium,medium,thin
cloudy,high,short,moderate,light,medium,soft,medium
cloudy,high,short,moderate,none,slow,firm,medium
cloudy,low,long,light,heavy,fast,firm,medium
cloudy,low,medium,heavy,light,fast,firm,medium
cloudy,low,medium,heavy,none,fast,soft,medium
cloudy,low,medium,heavy,none,slow,firm,medium
cloudy,low,medium,light,heavy,very_fast,firm,thick
cloudy,low,medium,moderate,heavy,fast,medium,thick
cloudy,low,medium,moderate,heavy,very_fast,medium,medium
cloudy,low,short,heavy,none,medium,firm,thin
cloudy,low,short,light,none,medium,firm,thin
cloudy,low,short,moderate,light,medium,soft,medium
cloudy,low,short,moderate,none,fast,firm,medium
cloudy,medium,long,heavy,heavy,medium,medium,thick
cloudy,medium,long,heavy,heavy,medium,medium,thick
cloudy,medium,long,heavy,light,medium,medium,thick
cloudy,medium,long,heavy,none,medium,medium,thick
cloudy,medium,long,heavy,none,very_fast,medium,thick
cloudy,medium,long,light,heavy,medium,medium,thick
cloudy,medium,long,light,none,fast,medium,medium
cloudy,medium,long,moderate,heavy,fast,medium,medium
cloudy,medium,long,moderate,heavy,very_fast,firm,thick
cloudy,medium,long,moderate,light,fast,firm,thick
cloudy,medium,long,moderate,light,fast,medium,thick
cloudy,medium,medium,light,none,slow,firm,medium
cloudy,medium,medium,moderate,heavy,fast,firm,medium
cloudy,medium,medium,moderate,light,slow,medium,medium
cloudy,medium,medium,moderate,none,medium,firm,medium
cloudy,medium,short,light,heavy,fast,medium,thick
cloudy,medium,short,light,heavy,very_fast,medium,thin
cloudy,medium,short,moderate,light,fast,medium,thin
cloudy,medium,short,moderate,none,very_fast,medium,thick
rainy,high,long,heavy,heavy,fast,medium,medium
rainy,high,long,heavy,heavy,very_fast,soft,medium
rainy,high,long,heavy,light,medium,soft,medium
rainy,high,long,heavy,light,medium,soft,thin
rainy,high,long,heavy,none,fast,soft,thick
rainy,high,long,heavy,none,slow,medium,thick
rainy,high,long,light,heavy,very_fast,soft,thick
rainy,high,long,light,light,slow,firm,thick
rainy,high,long,light,light,very_fast,medium,thick
rainy,high,long,light,none,medium,medium,thick
rainy,high,long,moderate,heavy,slow,firm,thin
rainy,high,long,moderate,light,medium,medium,medium
rainy,high,long,moderate,light,medium,soft,medium
rainy,high,long,moderate,none,fast,soft,thick
rainy,high,long,moderate,none,medium,soft,thick
rainy,high,long,moderate,none,slow,soft,thick
rainy,high,long,moderate,none,slow,soft,thin
rainy,high,medium,heavy,heavy,fast,soft,thick
rainy,high,medium,heavy,light,fast,firm,medium
rainy,high,medium,heavy,light,medium,firm,thin
rainy,high,medium,heavy,none,medium,medium,thick
rainy,high,medium,heavy,none,medium,soft,thin
rainy,high,medium,light,heavy,fast,firm,thick
rainy,high,medium,light,light,fast,soft,thick
rainy,high,medium,light,light,very_fast,firm,thick
rainy,high,medium,light,light,very_fast,soft,thick
rainy,high,medium,light,none,medium,medium,thin
rainy,high,medium,moderate,light,very_fast,soft,medium
rainy,high,short,heavy,heavy,very_fast,soft,medium
rainy,high,short,heavy,light,fast,medium,thin
rainy,high,short,heavy,light,slow,medium,thin
rainy,high,short,heavy,none,slow,soft,medium
rainy,high,short,light,heavy,very_fast,soft,medium
rainy,high,short,light,none,slow,soft,thin
rainy,high,short,moderate,heavy,medium,medium,thin
rainy,high,short,moderate,light,medium,medium,medium
rainy,high,short,moderate,none,slow,soft,thin
rainy,low,long,moderate,light,slow,firm,thick
rainy,low,medium,heavy,none,slow,medium,thin
rainy,low,medium,light,none,fast,firm,medium
rainy,low,short,heavy,light,fast,medium,medium
rainy,medium,long,moderate,none,fast,firm,medium
rainy,medium,medium,heavy,none,fast,firm,thick
rainy,medium,medium,light,heavy,fast,firm,thin
rainy,medium,medium,light,heavy,fast,medium,thick
rainy,medium,medium,light,light,fast,medium,thick
rainy,medium,medium,light,none,medium,medium,thick
rainy,medium,medium,light,none,very_fast,firm,thin
rainy,medium,medium,moderate,heavy,fast,medium,thin
rainy,medium,medium,moderate,none,slow,medium,medium
rainy,medium,short,heavy,heavy,fast,medium,thin
rainy,medium,short,heavy,light,medium,soft,thin
rainy,medium,short,heavy,none,slow,medium,thin
rainy,medium,short,light,light,fast,medium,thin
rainy,medium,short,moderate,heavy,fast,medium,medium
sunny,high,long,moderate,heavy,very_fast,soft,medium
sunny,high,long,moderate,light,fast,soft,thick
sunny,high,medium,light,heavy,medium,firm,thin
sunny,high,short,light,heavy,medium,soft,medium
sunny,high,short,light,light,medium,soft,thin
sunny,low,long,heavy,none,medium,firm,medium
sunny,low,long,heavy,none,slow,medium,medium
sunny,low,long,light,heavy,slow,firm,thick
sunny,low,long,light,light,medium,medium,medium
sunny,low,long,moderate,heavy,fast,firm,thick
sunny,low,long,moderate,heavy,medium,medium,medium
sunny,low,long,moderate,heavy,very_fast,firm,medium
sunny,low,long,moderate,heavy,very_fast,soft,medium
sunny,low,long,moderate,none,slow,firm,medium
sunny,low,long,moderate,none,very_fast,medium,thick
sunny,low,medium,heavy,heavy,medium,firm,thin
sunny,low,medium,heavy,heavy,very_fast,firm,thick
sunny,low,medium,heavy,light,medium,firm,thick
sunny,low,medium,heavy,none,medium,firm,medium
sunny,low,medium,heavy,none,medium,medium,thin
sunny,low,medium,light,light,fast,firm,medium
sunny,low,medium,light,light,medium,medium,medium
sunny,low,medium,light,none,medium,soft,medium
sunny,low,medium,light,none,slow,firm,medium
sunny,low,medium,light,none,slow,medium,medium
sunny,low,medium,light,none,very_fast,firm,thick
sunny,low,medium,moderate,heavy,very_fast,firm,thick
sunny,low,medium,moderate,light,fast,firm,thick
sunny,low,medium,moderate,light,medium,firm,thick
sunny,low,short,light,heavy,fast,firm,thin
sunny,low,short,light,heavy,medium,firm,thin
sunny,low,short,light,light,very_fast,firm,thin
sunny,low,short,light,none,slow,firm,thin
sunny,low,short,light,none,slow,firm,thin
sunny,low,short,moderate,heavy,fast,medium,thin
sunny,low,short,moderate,light,medium,medium,thick
sunny,low,short,moderate,light,very_fast,firm,thin
sunny,medium,long,heavy,heavy,very_fast,medium,thick
sunny,medium,long,heavy,light,medium,firm,thin
sunny,medium,long,heavy,light,slow,medium,thick
sunny,medium,long,light,heavy,fast,soft,thick
sunny,medium,long,light,none,medium,medium,thin
sunny,medium,long,moderate,heavy,fast,medium,medium
sunny,medium,long,moderate,heavy,medium,firm,medium
sunny,medium,long,moderate,light,slow,medium,thick
sunny,medium,medium,heavy,heavy,fast,firm,thin
sunny,medium,medium,heavy,heavy,fast,medium,medium
sunny,medium,medium,light,heavy,medium,firm,medium
sunny,medium,medium,light,heavy,very_fast,medium,thick
sunny,medium,medium,light,light,medium,soft,medium
sunny,medium,medium,moderate,heavy,fast,medium,medium
sunny,medium,short,heavy,light,medium,soft,thick
sunny,medium,short,light,heavy,fast,soft,thin
sunny,medium,short,light,light,medium,firm,medium
sunny,medium,short,moderate,heavy,very_fast,firm,thin
sunny,medium,short,moderate,light,fast,medium,thin
windy,high,long,heavy,heavy,medium,soft,medium
windy,high,long,heavy,light,very_fast,soft,thin
windy,high,long,moderate,none,fast,soft,thick
windy,high,medium,heavy,light,medium,soft,medium
windy,high,short,heavy,none,fast,soft,thin
windy,high,short,heavy,none,medium,soft,medium
windy,low,long,heavy,heavy,very_fast,firm,medium
windy,low,long,heavy,heavy,very_fast,firm,medium
windy,low,long,heavy,light,fast,firm,thick
windy,low,long,heavy,none,fast,medium,thin
windy,low,long,light,light,fast,firm,medium
windy,low,long,light,none,medium,firm,medium
windy,low,long,moderate,heavy,fast,firm,thick
windy,low,long,moderate,none,slow,medium,thick
windy,low,medium,light,heavy,medium,firm,thick
windy,low,medium,light,light,medium,firm,medium
windy,low,medium,light,none,medium,firm,medium
windy,low,medium,moderate,light,fast,medium,medium
windy,low,medium,moderate,light,medium,soft,thin
windy,low,medium,moderate,none,fast,medium,thin
windy,low,medium,moderate,none,medium,firm,medium
windy,low,medium,moderate,none,slow,firm,medium
windy,low,short,heavy,light,medium,firm,thin
windy,low,short,light,none,medium,firm,thin
windy,low,short,moderate,none,medium,medium,thick
windy,medium,long,heavy,light,fast,firm,thick
windy,medium,long,heavy,light,fast,medium,thick
windy,medium,long,heavy,none,fast,medium,thin
windy,medium,long,light,heavy,very_fast,medium,thin
windy,medium,long,light,light,fast,medium,thin
windy,medium,long,light,light,medium,medium,medium
windy,medium,long,light,light,very_fast,soft,thin
windy,medium,medium,heavy,heavy,medium,medium,thick
windy,medium,medium,heavy,heavy,very_fast,medium,medium
windy,medium,medium,heavy,light,very_fast,medium,medium
windy,medium,medium,heavy,none,medium,firm,thin
windy,medium,medium,light,heavy,fast,firm,medium
windy,medium,medium,light,heavy,fast,medium,thick
windy,medium,medium,light,light,medium,medium,medium
windy,medium,medium,moderate,heavy,slow,firm,thick
windy,medium,medium,moderate,light,very_fast,firm,medium
windy,medium,short,heavy,heavy,very_fast,firm,thin
windy,medium,short,heavy,light,fast,medium,medium
windy,medium,short,heavy,light,fast,medium,medium
windy,medium,short,light,heavy,very_fast,firm,medium
windy,medium,short,light,light,fast,firm,thin
windy,medium,short,moderate,light,very_fast,medium,medium
